 [(deep-learning , machine-learning): 555 times ] , 
 [(deep-learning , neural-network): 402 times ] , 
 [(deep-learning , keras): 263 times ] , 
 [(deep-learning , tensorflow): 191 times ] , 
 [(deep-learning , python): 167 times ] , 
 [(deep-learning , cnn): 161 times ] , 
 [(deep-learning , nlp): 101 times ] , 
 [(deep-learning , lstm): 100 times ] , 
 [(deep-learning , image-classification): 84 times ] , 
 [(deep-learning , classification): 76 times ] , 
 [(deep-learning , computer-vision): 71 times ] , 
 [(deep-learning , time-series): 57 times ] , 
 [(deep-learning , pytorch): 54 times ] , 
 [(deep-learning , rnn): 52 times ] , 
 [(deep-learning , convnet): 52 times ] , 
 [(deep-learning , data-mining): 47 times ] , 
 [(deep-learning , reinforcement-learning): 45 times ] , 
 [(deep-learning , convolution): 44 times ] , 
 [(deep-learning , loss-function): 42 times ] , 
 [(deep-learning , dataset): 36 times ] , 
 [(deep-learning , predictive-modeling): 33 times ] , 
 [(deep-learning , object-detection): 31 times ] , 
 [(deep-learning , autoencoder): 29 times ] , 
 [(deep-learning , natural-language-process): 28 times ] , 
 [(deep-learning , gan): 28 times ] , 
 [(deep-learning , training): 28 times ] , 
 [(deep-learning , regression): 26 times ] , 
 [(deep-learning , feature-selection): 26 times ] , 
 [(deep-learning , image-recognition): 24 times ] , 
 [(deep-learning , statistics): 24 times ] , 
 [(deep-learning , data-science-model): 23 times ] , 
 [(deep-learning , deep-network): 23 times ] , 
 [(deep-learning , recurrent-neural-net): 22 times ] , 
 [(deep-learning , transfer-learning): 22 times ] , 
 [(deep-learning , bert): 22 times ] , 
 [(deep-learning , machine-learning-model): 22 times ] , 
 [(deep-learning , image-preprocessing): 20 times ] , 
 [(deep-learning , gpu): 20 times ] , 
 [(deep-learning , word-embeddings): 20 times ] , 
 [(deep-learning , activation-function): 19 times ] , 
 [(deep-learning , backpropagation): 19 times ] , 
 [(deep-learning , generative-models): 18 times ] , 
 [(deep-learning , optimization): 18 times ] , 
 [(deep-learning , gradient-descent): 18 times ] , 
 [(deep-learning , unsupervised-learning): 17 times ] , 
 [(deep-learning , overfitting): 16 times ] , 
 [(deep-learning , yolo): 16 times ] , 
 [(deep-learning , image-segmentation): 15 times ] , 
 [(deep-learning , dqn): 14 times ] , 
 [(deep-learning , embeddings): 14 times ] , 
 [(deep-learning , transformer): 14 times ] , 
 [(deep-learning , text-mining): 13 times ] , 
 [(deep-learning , opencv): 13 times ] , 
 [(deep-learning , data-augmentation): 13 times ] , 
 [(deep-learning , multilabel-classification): 12 times ] , 
 [(deep-learning , q-learning): 12 times ] , 
 [(deep-learning , logistic-regression): 12 times ] , 
 [(deep-learning , anomaly-detection): 12 times ] , 
 [(deep-learning , attention-mechanism): 12 times ] , 
 [(deep-learning , prediction): 12 times ] , 
 [(deep-learning , accuracy): 11 times ] , 
 [(deep-learning , supervised-learning): 11 times ] , 
 [(deep-learning , regularization): 11 times ] , 
 [(deep-learning , multiclass-classification): 10 times ] , 
 [(deep-learning , ocr): 10 times ] , 
 [(deep-learning , scikit-learn): 10 times ] , 
 [(deep-learning , preprocessing): 10 times ] , 
 [(deep-learning , mlp): 10 times ] , 
 [(deep-learning , sequence-to-sequence): 10 times ] , 
 [(deep-learning , cross-validation): 10 times ] , 
 [(deep-learning , audio-recognition): 9 times ] , 
 [(deep-learning , normalization): 9 times ] , 
 [(deep-learning , feature-engineering): 9 times ] , 
 [(deep-learning , recommender-system): 9 times ] , 
 [(deep-learning , labels): 8 times ] , 
 [(deep-learning , wordvec): 8 times ] , 
 [(deep-learning , dropout): 8 times ] , 
 [(deep-learning , vgg): 8 times ] , 
 [(deep-learning , machine-translation): 8 times ] , 
 [(deep-learning , class-imbalance): 8 times ] , 
 [(deep-learning , numpy): 8 times ] , 
 [(deep-learning , hyperparameter-tuning): 7 times ] , 
 [(deep-learning , algorithms): 7 times ] , 
 [(deep-learning , named-entity-recognition): 7 times ] , 
 [(deep-learning , r): 7 times ] , 
 [(deep-learning , mnist): 7 times ] , 
 [(deep-learning , data): 7 times ] , 
 [(deep-learning , text-generation): 7 times ] , 
 [(deep-learning , graphs): 7 times ] , 
 [(deep-learning , evaluation): 7 times ] , 
 [(deep-learning , openai-gym): 6 times ] , 
 [(deep-learning , faster-rcnn): 6 times ] , 
 [(deep-learning , finetuning): 6 times ] , 
 [(deep-learning , visualization): 6 times ] , 
 [(deep-learning , object-recognition): 6 times ] , 
 [(deep-learning , hyperparameter): 6 times ] , 
 [(deep-learning , bigdata): 6 times ] , 
 [(deep-learning , text-classification): 6 times ] , 
 [(deep-learning , forecasting): 6 times ] , 
 [(deep-learning , batch-normalization): 6 times ] , 
 [(deep-learning , math): 5 times ] , 
